"date","new_cases","PCR","TestAc","activos","hospitalized","hospitalized_new","hospitalized_accumulated","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","cases_14days","cases_7days","cases_PCR_14days","cases_PCR_7days","daily_cases","daily_cases_avg7","daily_cases_PCR","daily_cases_PCR_avg7","daily_deaths","daily_deaths_inc","daily_deaths_avg3","daily_deaths_avg7","deaths_last_week"
2021-02-21,1568,612,98798,14363,12428,2790,98992,3003,83652,3140087,1726087,6065,152922,60639,66968,29458,4084,8662.7,1487,4208.3,178,0.2,230.7,325.9,2281
2021-02-22,1399,1932,99122,13265,12182,10953,110424,3111,83915,3146632,1730766,6184,143305,58015,62704,28250,6545,8287.9,4679,4035.7,263,0.3,226.3,300.3,2102
2021-02-23,2315,1615,99378,12637,11491,10953,110651,2969,84210,3153760,1735274,6233,134052,55129,62647,27277,7128,7875.6,4508,3896.7,295,0.4,245.3,282.3,1976
2021-02-24,1933,1603,99612,11986,10857,10949,110837,2843,84511,3160978,1739452,6280,125751,52488,59789,26398,7218,7498.3,4178,3771.1,301,0.4,286.3,275.1,1926
2021-02-25,1964,1383,99878,11603,10361,11025,111081,2752,84753,3167588,1743121,6360,117336,47911,56995,25175,6610,6844.4,3669,3596.4,242,0.3,279.3,256.1,1793
2021-02-26,1782,1314,100121,8389,9786,11040,111248,2627,84975,3174169,1746932,6379,110670,44306,54560,24342,6581,6329.4,3811,3477.4,222,0.3,255,248.4,1739
2021-02-27,1555,721,100169,8363,9556,10997,108232,2533,85167,3178598,1748679,6380,105335,42595,53756,24079,4429,6085,1747,3439.9,192,0.2,218.7,241.9,1693
2021-02-28,1001,490,100185,8364,9627,11010,108392,2519,85308,3181663,1749871,6414,102215,41576,53242,23784,3065,5939.4,1192,3397.7,141,0.2,185,236.6,1656
2021-03-01,1502,1793,100481,10015,9327,11083,111761,2549,85543,3187720,1754113,6456,99103,41088,51597,23347,6057,5869.7,4242,3335.3,235,0.3,189.3,232.6,1628
2021-03-02,1908,1359,100819,9611,9105,11128,112000,2468,85700,3193285,1757837,6509,94654,39525,49840,22563,5565,5646.4,3724,3223.3,157,0.2,177.7,212.9,1490
2021-03-03,1574,1389,101026,9256,8728,11142,112217,2388,85914,3198675,1761432,6562,90185,37697,48378,21980,5390,5385.3,3595,3140,214,0.2,202,200.4,1403
2021-03-04,1738,1337,101268,8995,8370,11132,112400,2317,86074,3204491,1764830,6592,84814,36903,46884,21709,5816,5271.9,3398,3101.3,160,0.2,177,188.7,1321
2021-03-05,1517,1362,101468,6892,8000,11163,112597,2278,86280,3210789,1768586,6609,80926,36620,45996,21654,6298,5231.4,3756,3093.4,206,0.2,193.3,186.4,1305
2021-03-06,1283,750,101518,6487,7893,11137,109537,2159,86411,3214606,1770174,0,78603,36008,45574,21495,3817,5144,1588,3070.7,131,0.2,165.7,177.7,1244
2021-03-07,831,568,101523,6919,8032,11123,109656,1934,86499,3217381,1771416,6625,77294,35718,45329,21545,2775,5102.6,1242,3077.9,88,0.1,141.7,170.1,1191
2021-03-08,1165,1496,101737,8415,7908,11218,113070,2145,86683,3222342,1774994,6643,75710,34622,44228,20881,4961,4946,3578,2983,184,0.2,134.3,162.9,1140
2021-03-09,1481,1331,101915,8285,7690,11244,113305,2080,86886,3227731,1778555,6662,73971,34446,43281,20718,5389,4920.9,3561,2959.7,203,0.2,158.3,169.4,1186
2021-03-10,1313,1393,102256,4512,7467,196,102460,2033,87062,3233198,1782059,6694,72220,34523,42607,20627,5467,4931.9,3504,2946.7,176,0.2,187.7,164,1148
2021-03-11,1581,1399,102349,8136,7178,11229,113693,1978,87181,3239094,1785506,6710,71506,34603,42385,20676,5896,4943.3,3447,2953.7,119,0.1,166,158.1,1107
2021-03-12,1506,1452,102592,6606,6947,11281,113855,1898,87301,3244893,1789003,6771,70724,34104,42071,20417,5799,4872,3497,2916.7,120,0.1,138.3,145.9,1021
