,Comunidad,Fecha,Fallecidos
685,Aragon,2020-05-22,858
686,Asturias,2020-05-22,307
687,Baleares,2020-05-22,222
688,Canarias,2020-05-22,155
689,Cantabria,2020-05-22,209
690,Castilla La Mancha,2020-05-22,2929
691,Castilla y Leon,2020-05-22,1961
692,Cataluña,2020-05-22,6656
693,Ceuta,2020-05-22,4
694,C.Valenciana,2020-05-22,1389
695,Extremadura,2020-05-22,506
696,Galicia,2020-05-22,609
697,Madrid,2020-05-22,8944
698,Melilla,2020-05-22,2
699,Murcia,2020-05-22,149
700,Navarra,2020-05-22,508
701,Pais Vasco,2020-05-22,1487
702,La Rioja,2020-05-22,356
703,Andalucia,2020-05-23,1389
704,Aragon,2020-05-23,858
705,Asturias,2020-05-23,307
706,Baleares,2020-05-23,222
707,Canarias,2020-05-23,157
708,Cantabria,2020-05-23,209
709,Castilla La Mancha,2020-05-23,2934
710,Castilla y Leon,2020-05-23,1961
711,Cataluña,2020-05-23,6663
712,Ceuta,2020-05-23,4
713,C.Valenciana,2020-05-23,1390
714,Extremadura,2020-05-23,507
715,Galicia,2020-05-23,610
716,Madrid,2020-05-23,8956
717,Melilla,2020-05-23,2
718,Murcia,2020-05-23,149
719,Navarra,2020-05-23,509
720,Pais Vasco,2020-05-23,1494
721,La Rioja,2020-05-23,357
722,Andalucia,2020-05-24,1391
723,Aragon,2020-05-24,858
724,Asturias,2020-05-24,308
725,Baleares,2020-05-24,222
726,Canarias,2020-05-24,157
727,Cantabria,2020-05-24,209
728,Castilla La Mancha,2020-05-24,2940
729,Castilla y Leon,2020-05-24,1961
730,Cataluña,2020-05-24,6701
731,Ceuta,2020-05-24,4
732,C.Valenciana,2020-05-24,1393
733,Extremadura,2020-05-24,506
734,Galicia,2020-05-24,613
735,Madrid,2020-05-24,8977
736,Melilla,2020-05-24,2
737,Murcia,2020-05-24,149
738,Navarra,2020-05-24,509
739,Pais Vasco,2020-05-24,1494
740,La Rioja,2020-05-24,358
741,Andalucia,2020-05-25,1334
742,Aragon,2020-05-25,826
743,Asturias,2020-05-25,288
744,Baleares,2020-05-25,211
745,Canarias,2020-05-25,150
746,Cantabria,2020-05-25,202
747,Castilla La Mancha,2020-05-25,2788
748,Castilla y Leon,2020-05-25,1913
749,Cataluña,2020-05-25,5575
750,Ceuta,2020-05-25,4
751,C.Valenciana,2020-05-25,1331
752,Extremadura,2020-05-25,506
753,Galicia,2020-05-25,607
754,Madrid,2020-05-25,8686
755,Melilla,2020-05-25,2
756,Murcia,2020-05-25,139
757,Navarra,2020-05-25,490
758,Pais Vasco,2020-05-25,1424
759,La Rioja,2020-05-25,358
760,Andalucia,2020-05-26,1404
761,Aragon,2020-05-26,826
762,Asturias,2020-05-26,310
763,Baleares,2020-05-26,209
764,Canarias,2020-05-26,150
765,Cantabria,2020-05-26,202
766,Castilla La Mancha,2020-05-26,2945
767,Castilla y Leon,2020-05-26,1922
768,Cataluña,2020-05-26,5583
769,Ceuta,2020-05-26,5
770,C.Valenciana,2020-05-26,1332
771,Extremadura,2020-05-26,507
772,Galicia,2020-05-26,607
773,Madrid,2020-05-26,8691
774,Melilla,2020-05-26,2
775,Murcia,2020-05-26,148
776,Navarra,2020-05-26,490
777,Pais Vasco,2020-05-26,1424
778,La Rioja,2020-05-26,360
779,Andalucia,2020-05-27,1404
780,Aragon,2020-05-27,826
781,Asturias,2020-05-27,310
782,Baleares,2020-05-27,209
783,Canarias,2020-05-27,151
784,Cantabria,2020-05-27,202
785,Castilla La Mancha,2020-05-27,2945
786,Castilla y Leon,2020-05-27,1922
787,Cataluña,2020-05-27,5583
788,Ceuta,2020-05-27,4
789,C.Valenciana,2020-05-27,1332
790,Extremadura,2020-05-27,507
791,Galicia,2020-05-27,608
792,Madrid,2020-05-27,8691
